"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NE2D6MQ3","journalArticle","2015","Petrillo, J.; Cano, S. J.; McLeod, L. D.; Coon, C. D.","Using classical test theory, item response theory, and Rasch measurement theory to evaluate patient-reported outcome measures: a comparison of worked examples","Value Health","","1098-3015","10.1016/j.jval.2014.10.005","http://dx.doi.org/10.1016/j.jval.2014.10.005","OBJECTIVE: To provide comparisons and a worked example of item- and scale-level evaluations based on three psychometric methods used in patient-reported outcome development-classical test theory (CTT), item response theory (IRT), and Rasch measurement theory (RMT)-in an analysis of the National Eye Institute Visual Functioning Questionnaire (VFQ-25). METHODS: Baseline VFQ-25 data from 240 participants with diabetic macular edema from a randomized, double-masked, multicenter clinical trial were used to evaluate the VFQ at the total score level. CTT, RMT, and IRT evaluations were conducted, and results were assessed in a head-to-head comparison. RESULTS: Results were similar across the three methods, with IRT and RMT providing more detailed diagnostic information on how to improve the scale. CTT led to the identification of two problematic items that threaten the validity of the overall scale score, sets of redundant items, and skewed response categories. IRT and RMT additionally identified poor fit for one item, many locally dependent items, poor targeting, and disordering of over half the response categories. CONCLUSIONS: Selection of a psychometric approach depends on many factors. Researchers should justify their evaluation method and consider the intended audience. If the instrument is being developed for descriptive purposes and on a restricted budget, a cursory examination of the CTT-based psychometric properties may be all that is possible. In a high-stakes situation, such as the development of a patient-reported outcome instrument for consideration in pharmaceutical labeling, however, a thorough psychometric evaluation including IRT or RMT should be considered, with final item-level decisions made on the basis of both quantitative and qualitative results.","2015-01","2019-03-21 19:57:49","2019-03-21 19:57:49","","25-34","","1","18","","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","","","","","","","","eng","","","","25595231","NLM","","","","/Users/domusc/Zotero/storage/2DZJBQEJ/Petrillo-2015-Using-classical-test-theory-item-re (1).pdf","","*Patient Outcome Assessment; classical test theory; Diabetic Retinopathy/diagnosis/epidemiology; Humans; item response theory; Macular Edema/diagnosis/epidemiology; patient-reported outcome; psychometrics; Psychometrics/methods/standards; Rasch measurement theory; Self Report/*standards; Surveys and Questionnaires/*standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XT4XIS5B","journalArticle","2015","Medeiros, F. A.; Gracitelli, C. P.; Boer, E. R.; Weinreb, R. N.; Zangwill, L. M.; Rosen, P. N.","Longitudinal changes in quality of life and rates of progressive visual field loss in glaucoma patients","Ophthalmology","","0161-6420","10.1016/j.ophtha.2014.08.014","http://dx.doi.org/10.1016/j.ophtha.2014.08.014","PURPOSE: To evaluate the association between longitudinal changes in quality of life (QoL) and rates of progressive visual field loss in glaucoma. DESIGN: Prospective observational cohort study. PARTICIPANTS: We recruited 322 eyes of 161 patients with glaucomatous visual field loss from the Diagnostic Innovations Glaucoma Study followed for an average of 3.5+/-0.7 years. METHODS: All subjects had National Eye Institute Visual Function Questionnaire (NEI VFQ)-25 performed annually and standard automated perimetry (SAP) at 6-month intervals. Subjects were included if they had a minimum of 2 NEI VFQ-25 and >/=5 SAP during follow-up. Evaluation of rates of visual field change was performed using the mean sensitivity (MS) of the integrated binocular visual field (BVF). Rasch analysis was performed to obtain final scores of disability as measured by the NEI VFQ-25. A joint longitudinal multivariate mixed model was used to investigate the association between change in NEI VFQ-25 Rasch-calibrated scores and change in BVF sensitivity. Potentially confounding socioeconomic and clinical variables also were analyzed. MAIN OUTCOME MEASURES: The relationship between change in NEI VFQ-25 Rasch-calibrated scores and change in binocular SAP MS. RESULTS: There was a significant correlation between change in the NEI VFQ-25 Rasch scores during follow-up and change in binocular SAP sensitivity. Each 1-dB change in binocular SAP MS per year was associated with a change of 2.9 units per year in the NEI VFQ-25 Rasch scores during the follow-up period (R(2) = 26%; P<0.001). Eyes with more severe disease at baseline were also more likely to have a decrease in NEI VFQ-25 scores during follow-up (P<0.001). For subjects with the same amount of change in SAP sensitivity, those with shorter follow-up times had larger changes in NEI VFQ-25 scores (P = 0.005). A multivariable model containing baseline and rate of change in binocular MS had an adjusted R(2) of 50% in predicting change in NEI VFQ-25 scores. CONCLUSIONS: Baseline severity, magnitude, and rates of change in BVF sensitivity were associated with longitudinal changes in QoL of glaucoma patients. Assessment of longitudinal visual field changes may help to identify patients at greater risk for developing disability from the disease.","2015-02","2019-03-21 19:57:46","2019-03-21 19:57:46","","293-301","","2","122","","Ophthalmology","","","","","","","","eng","","","","25444345","NLM","","","","","","*Visual Fields; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Visual Field Tests; Follow-Up Studies; Disease Progression; Surveys and Questionnaires; Cohort Studies; Visual Acuity/physiology; Sensitivity and Specificity; Prospective Studies; Vision, Binocular/physiology; *Sickness Impact Profile; Intraocular Pressure/physiology; Quality of Life/*psychology; Vision Disorders/diagnosis/*psychology; Disability Evaluation; Glaucoma/diagnosis/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHZJFF3C","journalArticle","2014","Qiu, M.; Wang, S. Y.; Singh, K.; Lin, S. C.","Association between visual field defects and quality of life in the United States","Ophthalmology","","0161-6420","10.1016/j.ophtha.2013.09.043","http://dx.doi.org/10.1016/j.ophtha.2013.09.043","PURPOSE: To investigate the association between visual field defects and quality of life in the United States population. DESIGN: Cross-sectional study. PARTICIPANTS: A total of 5186 participants in the 2005 through 2008 National Health and Nutrition Examination Survey 40 years of age and older without a self-reported history of age-related macular degeneration or prior refractive surgery who had undergone frequency doubling technology perimetric testing. METHODS: Frequency doubling technology perimetry was performed in both eyes. Results from the better eye were used to categorize subjects as normal or having mild, moderate, or severe visual field loss. Subjects completed surveys about their visual and physical functioning ability. MAIN OUTCOME MEASURES: Disability pertaining to 6 vision-related activities, 2 visual function questions, and 5 physical functioning domains. RESULTS: Eighty-one percent of subjects had normal visual fields and 10%, 7%, and 2% demonstrated mild, moderate, and severe visual field defects, respectively. Subjects with greater severity of visual field defects had greater difficulty with vision-related activities. Subjects with severe visual field defects demonstrated the greatest odds of difficulty with all 6 activities. The 2 activities impacted most adversely were daytime driving in familiar places (odds ratio [OR], 12.4; 95% confidence interval [CI], 6.1-25.1) and noticing objects off to the side when walking (OR, 7.7; 95% CI, 4.7-12.7). Subjects with severe visual field defects had greater odds of worrying about eyesight (OR, 3.4; 95% CI, 2.0-5.8) and being limited by vision in the time spent on daily activities (OR, 5.1; 95% CI, 3.0-8.5). Subjects with severe visual field defects demonstrated the greatest odds of difficulty with 3 physical function domains, including activities of daily living (OR, 2.45; 95% CI, 1.37-4.38), instrumental activities of daily living (OR, 2.45; 95% CI, 1.37-4.38), as well as leisure and social activities (OR, 3.29; 95% CI, 1.87-5.77). CONCLUSIONS: Greater severity of visual field abnormality was associated with significantly greater odds of disability with vision-related function and physical function. These findings support the necessity of routine screening to find those who may benefit from therapy to prevent progressive glaucomatous vision loss.","2014-03","2019-03-21 19:57:27","2019-03-21 19:57:27","","733-40","","3","121","","Ophthalmology","","","","","","","","eng","","","","24342021","NLM","","","","/Users/domusc/Zotero/storage/2LFKUD4E/Qiu et al. - 2014 - Association between visual field defects and quali.pdf","","*Visual Fields; Humans; Middle Aged; United States; Female; Male; Prevalence; Cross-Sectional Studies; Sickness Impact Profile; Activities of Daily Living; Nutrition Surveys; Quality of Life/*psychology; Disability Evaluation; *Visual Field Tests; Glaucoma/diagnosis/epidemiology; Vision Disorders/classification/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBRPYM79","journalArticle","2004","Globe, D. R.; Wu, J.; Azen, S. P.; Varma, R.; Los Angeles Latino Eye Study, Group","The impact of visual impairment on self-reported visual functioning in Latinos: The Los Angeles Latino Eye Study","Ophthalmology","","0161-6420 (Print) 0161-6420 (Linking)","10.1016/j.ophtha.2004.02.003","http://www.ncbi.nlm.nih.gov/pubmed/15177964","OBJECTIVE: To assess the association between presenting binocular visual acuity (VA) and self-reported visual function as measured by the 25-item National Eye Institute Visual Function Questionnaire (NEI-VFQ-25). DESIGN: A population-based, prevalence study of eye disease in Latinos 40 years and older residing in La Puente, California (Los Angeles Latino Eye Study [LALES]). PARTICIPANTS: Six thousand three hundred fifty-seven Latinos 40 years and older from 6 census tracts in La Puente. METHODS: All participants completed a standardized interview, including the NEI-VFQ-25 to measure visual functioning, and a detailed eye examination. Two definitions of visual impairment were used: (1) presenting binocular distance VA of 20/40 or worse and (2) presenting binocular distance VA worse than 20/40. Analysis of variance was used to determine any systematic differences in mean NEI-VFQ-25 scores by visual impairment. Regression analyses were completed (1) to determine the association of age, gender, number of systemic comorbidities, depression, and VA with self-reported visual function and (2) to estimate a visual impairment-related difference for each subscale based on differences in VA. MAIN OUTCOME MEASURES: The NEI-VFQ-25 scores in persons with visual impairment. RESULTS: Of the 5287 LALES participants with complete NEI-VFQ-25 data, 6.3% (including 20/40) and 4.2% (excluding 20/40) were visually impaired. In the visually impaired participants, the NEI-VFQ-25 subscale scores ranged from 46.2 (General Health) to 93.8 (Color Vision). In the regression model, only VA, depression, and number of comorbidities were significantly associated with all subscale scores (R(2) ranged from 0.09 for Ocular Pain to 0.33 for the composite score). For 9 of 11 subscales, a 5-point change was equivalent to a 1- or 2-line difference in VA. Relationships were similar regardless of the definition of visual impairment. CONCLUSION: In this population-based study of Latinos, the NEI-VFQ-25 was sensitive to differences in VA. A 5-point difference on the NEI-VFQ-25 seems to be a minimal criterion for a visual impairment-related difference. Self-reported visual function is essentially unchanged if the definition of visual impairment includes or excludes a VA of 20/40.","2004-06","2019-03-21 19:55:06","2019-03-21 19:55:06","","1141-9","","6","111","","","","","","","","","","","","","","15177964","","","","","/Users/domusc/Zotero/storage/9D9ER3UL/Globe et al. - 2004 - The impact of visual impairment on self-reported v.pdf","","Adult; Aged; Aged, 80 and over; Cross-Sectional Studies; Female; Hispanic Americans/*ethnology; Humans; Los Angeles/epidemiology; Male; Middle Aged; Prevalence; Self Disclosure; Sickness Impact Profile; Surveys and Questionnaires; Vision Disorders/*ethnology/*physiopathology; Vision, Binocular/*physiology; Visual Acuity/*physiology; Visually Impaired Persons/*statistics & numerical data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSS7WR46","journalArticle","2001","Mangione, C. M.; Lee, P. P.; Gutierrez, P. R.; Spritzer, K.; Berry, S.; Hays, R. D.","Development of the 25-item National Eye Institute Visual Function Questionnaire","Arch Ophthalmol","","0003-9950 (Print)0003-9950","","http://dx.doi.org/ https://escholarship.org/content/qt3jt571n6/qt3jt571n6.pdf","OBJECTIVE: To develop and test the psychometric properties of a 25-item version of the National Eye Institute Visual Function Questionnaire (NEI VFQ-25). DESIGN: Prospective observational cohort study of persons with 1 of 5 chronic eye diseases or low vision who were scheduled for nonurgent visits in ophthalmology practices and a reference sample of persons without eye disease. SETTING: Eleven university-based ophthalmology practices and the NEI Clinical Center. PATIENTS: Eligible participants had to have 1 of the following eye conditions: age-related cataracts, age-related macular degeneration, diabetic retinopathy, primary open-angle glaucoma, cytomegalovirus retinitis, or low vision from any cause. Seven of the 12 sites also enrolled persons in a reference sample. Reference sample participants had no evidence of underlying eye disease but were scheduled for either screening eye examinations or correction of refractive error. All eligible persons had to be 21 years or older, English speaking, and cognitively able to give informed consent and participate in a health status interview. MEASUREMENTS AND MAIN RESULTS: To provide the data needed to create the NEI VFQ-25, all subjects completed an interview that included the 51-item NEI VFQ. Estimates of internal consistency indicate that the subscales of the NEI VFQ-25 are reliable. The validity of the NEI VFQ-25 is supported by high correlations between the short- and long-form versions of the measure, observed between-group differences in scores for persons with different eye diseases of varying severity, and the moderate-to-high correlations between the NEI VFQ-25 subscales that have the most to do with central vision and measured visual acuity. CONCLUSIONS: The reliability and validity of the NEI VFQ-25 are comparable to those of the 51-item NEI VFQ field test version of the survey. This shorter version will be more feasible in settings such as clinical trials where interview length is a critical consideration. In addition, preliminary analyses indicate that the psychometric properties of the NEI VFQ-25 are robust for the eye conditions studied; this suggests that the measure will provide reproducible and valid data when used across multiple conditions of varying severity.","2001-07","2019-03-21 19:54:53","2019-03-21 19:54:53","","1050-8","","7","119","","Archives of ophthalmology (Chicago, Ill. : 1960)","","","","","","","","eng","","","","11448327","NLM","","","","/Users/domusc/Zotero/storage/MCAZCKQJ/Mangione et al. - 2001 - Development of the 25-item National Eye Institute .pdf","","*Sickness Impact Profile; *Surveys and Questionnaires; Chronic Disease; Cohort Studies; Eye Diseases/physiopathology; Health Surveys; Humans; Middle Aged; National Institutes of Health (U.S.); Ophthalmology; Prospective Studies; Psychometrics; Reproducibility of Results; United States; Vision, Low/physiopathology; Visual Acuity/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WYXGMI5H","journalArticle","2008","McKean-Cowdin, R.; Wang, Y.; Wu, J.; Azen, S. P.; Varma, R.","Impact of visual field loss on health-related quality of life in glaucoma: the Los Angeles Latino Eye Study","Ophthalmology","","0161-6420","10.1016/j.ophtha.2007.08.037","http://dx.doi.org/10.1016/j.ophtha.2007.08.037 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864605/pdf/nihms-782771.pdf","PURPOSE: To examine the association between health-related quality of life (HRQOL) and visual field (VF) loss in participants with open-angle glaucoma (OAG) in the Los Angeles Latino Eye Study (LALES). DESIGN: Population-based cross-sectional study. PARTICIPANTS: Two hundred thirteen participants with OAG and 2821 participants without glaucoma or VF loss. METHODS: Participants in the LALES-a population-based prevalence study of eye disease in Latinos 40 years and older, residing in Los Angeles, California-underwent a detailed eye examination including an assessment of their VF using the Humphrey Automated Field Analyzer (Swedish interactive thresholding algorithm Standard 24-2). Open-angle glaucoma was determined by clinical examination. Mean deviation scores were used to assess severity of VF loss. Health-related QOL was assessed by the Medical Outcomes Study 12-item Short-Form Health Survey (SF-12) and 25-item National Eye Institute Visual Function Questionnaire (NEI-VFQ-25). Linear regression and analysis of covariance were used to assess the relationship between HRQOL scores and VF loss after adjusting for sociodemographic variables and visual acuity. MAIN OUTCOME MEASURES: The 25-item NEI-VFQ and SF-12 scores. RESULTS: A trend of worse NEI-VFQ-25 scores for most subscales was observed with worse VF loss (using both monocular and calculated binocular data). Open-angle glaucoma participants with VF loss had lower scores than participants with no VF loss. This association was also present in participants who were previously undiagnosed and untreated for OAG (N = 160). Participants with any central VF loss had lower NEI-VFQ-25 scores than those with unilateral or bilateral peripheral VF loss. There was no significant impact of severity or location of VF loss on SF-12 scores. CONCLUSION: Greater severity of VF loss in persons with OAG impacts vision-related QOL. This impact was present in persons who were previously unaware that they had glaucoma. Prevention of VF loss in persons with glaucoma is likely to reduce loss of vision-related QOL.","2008-06","2019-03-21 19:55:47","2019-03-21 19:55:47","","941-948.e1","","6","115","","Ophthalmology","","","","","","","","eng","","","","17997485","NLM","","","","/Users/domusc/Zotero/storage/GTWHP8P9/McKean-Cowdin et al. - 2008 - Impact of visual field loss on health-related qual.pdf","","*Visual Fields; Adult; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Cross-Sectional Studies; Sickness Impact Profile; Surveys and Questionnaires; *Health Status; Visual Acuity/physiology; Quality of Life/*psychology; Visually Impaired Persons/*psychology; Hispanic Americans/*ethnology; Los Angeles/epidemiology; Glaucoma, Open-Angle/ethnology/*psychology; Vision Disorders/ethnology/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RG6G4DR4","journalArticle","2008","Freeman, E. E.; Munoz, B.; West, S. K.; Jampel, H. D.; Friedman, D. S.","Glaucoma and quality of life: the Salisbury Eye Evaluation","Ophthalmology","","0161-6420","10.1016/j.ophtha.2007.04.050","http://dx.doi.org/10.1016/j.ophtha.2007.04.050 http://www.aaojournal.org/article/S0161-6420(07)00505-2/fulltext","PURPOSE: To examine whether glaucoma status or measures of visual function affected by glaucoma are associated with self-reported difficulty with vision-intensive tasks in a population-based study. DESIGN: Cross-sectional study. PARTICIPANTS: One thousand one hundred sixty individuals who participated in the fourth round of the Salisbury Eye Evaluation study and who did not have visual acuity worse than 20/40 due to a primary cause other than glaucoma. METHODS: Glaucoma was assessed using optic nerve head appearance, visual field (VF) testing, gonioscopy, and physician opinion. Vision-related quality of life was assessed using the Activities of Daily Vision Scale (ADVS), whose scores were trichotomized into the following categories: the least difficulty with visual tasks, some difficulty, and the most difficulty. Data on confounders were collected by questionnaire and clinical examination. Multinomial logistic regression was used to adjust for demographic and health factors. MAIN OUTCOME MEASURE: Reported difficulty on the ADVS. RESULTS: Individuals with bilateral glaucoma were more likely to report the most difficulty on the ADVS than those without glaucoma (odds ratio [OR], 3.25; 95% confidence interval [CI], 1.56-6.76), whereas those with unilateral glaucoma were not more likely to report the most difficulty (OR, 1.05; 95% CI, 0.38-2.91). Worse binocular VF scores were associated with increased odds of the most difficulty on the ADVS after adjusting for acuity and contrast sensitivity (OR, 1.48; 95% CI, 1.29-1.85). CONCLUSIONS: Individuals with bilateral glaucoma reported more difficulty on the ADVS than those without glaucoma. This finding, in conjunction with findings demonstrating decreased mobility in patients with bilateral glaucoma, points to the fact that glaucoma affects the report of difficulty with a variety of visual tasks.","2008-02","2019-03-21 19:55:42","2019-03-21 19:55:42","","233-8","","2","115","","Ophthalmology","","","","","","","","eng","","","","17655930","NLM","","","","/Users/domusc/Zotero/storage/54UUYUPR/Freeman et al. - 2008 - Glaucoma and quality of life the Salisbury Eye Ev.pdf","","Humans; Aged; Aged, 80 and over; Contrast Sensitivity/physiology; Female; Male; Visual Field Tests; Cross-Sectional Studies; *Quality of Life; Surveys and Questionnaires; Visual Fields/*physiology; Visual Acuity/physiology; Glaucoma, Open-Angle/*physiopathology; *Activities of Daily Living; Maryland; Vision Disorders/*physiopathology; Optic Disk/pathology; Optic Nerve Diseases/physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNNBEZS5","journalArticle","2007","McKean-Cowdin, R.; Varma, R.; Wu, J.; Hays, R. D.; Azen, S. P.","Severity of visual field loss and health-related quality of life","Am J Ophthalmol","","0002-9394 (Print)0002-9394","10.1016/j.ajo.2007.02.022","http://dx.doi.org/10.1016/j.ajo.2007.02.022 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2731547/pdf/nihms24368.pdf","PURPOSE: To examine the association between severity of visual field loss (VFL) and self-reported health-related quality of life (HRQOL) in a population-based sample. DESIGN: Population-based cross-sectional study. METHODS: Participants in the Los Angeles Latino Eye Study (LALES) underwent a comprehensive ophthalmic examination including visual field testing by the Humphrey Automated Field Analyzer II (Swedish Interactive Thresholding Algorithm [SITA] Standard 24-2) [Carl Zeiss Meditec, Dublin, California, USA]. Mean deviation (MD) scores were used to determine severity of VFL both as a continuous variable and stratified by severity: no VFL (MD >or= -2 decibels [dB]), mild VFL (-6 dB < MD < -2 dB), and moderate to severe VFL (MD < -6 dB). HRQOL was assessed by the Medical Outcomes Study 12-item Short-Form Health Survey (SF-12) and the National Eye Institute Visual Function Questionnaire (NEI-VFQ-25). Linear regression analyses and analysis of covariance were used to assess the relationship between HRQOL scores and VFL. RESULTS: Of the 5,213 participants included in this study, 18% had unilateral mild, 1.5% unilateral moderate to severe, 19% bilateral mild, and 6.5% bilateral moderate to severe VFL. Worse NEI-VFQ-25 and SF-12 HRQOL scores were associated with VFL in a linear manner. Four- to 5-dB differences in VFL were associated with a five-point difference in the NEI-VFQ-25 composite and most subscale scores. Persons with VFL had the greatest difficulty with driving activities, dependency, mental health, distance vision, and peripheral vision. CONCLUSIONS: HRQOL is diminished even in persons with relatively mild VFL on the basis of MD scores. Prevention and management of persons with VFL may be important in preventing or reducing poor HRQOL related to difficulties in driving, distance and peripheral vision activities, and a sense of dependency.","2007-06","2019-03-21 19:55:38","2019-03-21 19:55:38","","1013-23","","6","143","","American journal of ophthalmology","","","","","","","","eng","","","","17399676","NLM","","","","/Users/domusc/Zotero/storage/8HLWIN8Y/McKean-Cowdin et al. - 2007 - Severity of visual field loss and health-related q.pdf","","*Visual Fields; Adult; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Visual Field Tests; Cross-Sectional Studies; Sickness Impact Profile; Surveys and Questionnaires; *Severity of Illness Index; Health Status; Quality of Life/*psychology; Visually Impaired Persons/*psychology; Los Angeles/epidemiology; Vision Disorders/ethnology/*psychology; Hispanic Americans/ethnology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTJYZIEA","journalArticle","2006","Freeman, E. E.; Munoz, B.; Turano, K. A.; West, S. K.","Measures of visual function and their association with driving modification in older adults","Invest Ophthalmol Vis Sci","","0146-0404 (Print)0146-0404","10.1167/iovs.05-0934","http://dx.doi.org/10.1167/iovs.05-0934 http://iovs.arvojournals.org/data/journals/iovs/933234/z7g00206000514.pdf","PURPOSE: Older drivers may place restrictions on their driving by reducing their mileage and avoiding high-risk driving situations in an effort to improve safety. This project identifies what types of visual function loss are associated with subsequent driving modifications. METHODS: Data were used from the baseline and 2-year follow-up rounds of the Salisbury Eye Evaluation project, a cohort study of 2520 older adults. Measures of visual function tested were visual acuity, contrast sensitivity, visual fields, and glare sensitivity. Driving information was self-reported. Among drivers at baseline who continued to drive at follow-up, multiple logistic regression was used to estimate the odds of incident driving modification by visual function status. RESULTS: Worse baseline scores in acuity, contrast sensitivity, and central and lower peripheral visual fields were individually associated with an increased odds of reduced mileage 2 years later (linear trend P < 0.05). Worse baseline scores in contrast sensitivity and central and lower peripheral visual fields were individually associated with a greater odds of cessation of night driving 2 years later, whereas worse baseline acuity scores were associated with an increased odds of cessation of driving in an unfamiliar areas 2 years later (linear trend P < 0.05). CONCLUSIONS: Older drivers with worse visual function were more likely to modify their driving by reducing mileage and avoiding high-risk driving situations. Furthermore, these modifications to driving differed depending on what type of visual function was affected.","2006-02","2019-03-21 19:55:21","2019-03-21 19:55:21","","514-20","","2","47","","Investigative ophthalmology & visual science","","","","","","","","eng","","","","16431944","NLM","","","","","","*Glare; Aged; Aged, 80 and over; Automobile Driving/*psychology; Contrast Sensitivity/*physiology; Female; Follow-Up Studies; Humans; Male; Odds Ratio; Surveys and Questionnaires; Vision Disorders/*psychology; Vision Tests; Visual Acuity/*physiology; Visual Fields/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"458LMC3T","journalArticle","1998","Mangione, C. M.; Lee, P. P.; Pitts, J.; Gutierrez, P.; Berry, S.; Hays, R. D.","Psychometric properties of the National Eye Institute Visual Function Questionnaire (NEI-VFQ). NEI-VFQ Field Test Investigators","Arch Ophthalmol","","0003-9950 (Print)0003-9950","","http://dx.doi.org/ https://escholarship.org/content/qt5wc4x984/qt5wc4x984.pdf","OBJECTIVE: To test the reliability and validity of the 51-item Field Test Version of the National Eye Institute Visual Function Questionnaire (NEI-VFQ) across 5 common chronic eye conditions. DESIGN: Prospective observational cohort study of persons with 1 of 5 chronic eye diseases who were scheduled for nonurgent visits in ophthalmology practices or had low vision from any cause, and a reference sample of persons without eye disease. SETTING: Six university-based ophthalmology practices and the National Eye Institute Clinical Center, Bethesda, Md. PATIENTS: Eligible participants had to have 1 of the following eye conditions: age-related cataracts, age-related macular degeneration, diabetic retinopathy, primary open-angle glaucoma, cytomegalovirus retinitis, or low vision from any cause. Each of the 7 sites also enrolled persons in a reference sample. Reference sample participants had no evidence of underlying eye disease but were scheduled for either screening eye examinations or correction of refractive error. All eligible persons had to be aged 21 years or older, English speaking, and cognitively able to give informed consent and participate in a health status interview. MEASUREMENTS AND MAIN RESULTS: To provide the data needed to assess the reliability and validity of the 51-item NEI-VFQ, all subjects completed an interview that consisted of the 51-item NEI-VFQ, the Medical Outcomes Study 36-Item Short-Form Health Survey, and at least 1 measure of vision-targeted functional status. Estimates of internal consistency and test-retest reproducibility indicate that the 51-item NEI-VFQ is reliable. Tests of association with other scales and clinical variables support the construct validity of the survey. CONCLUSIONS: In this cross-sectional study, the 51-item NEI-VFQ seems to be reliable and valid and should be a useful tool for group-level comparisons of vision-targeted, health-related quality of life in clinical research. Additionally, the psychometric properties of the NEI-VFQ were not influenced by the type or severity of the underlying eye disease, suggesting that the measure will provide reproducible and valid data when used across multiple eye conditions.","1998-11","2019-03-21 19:54:44","2019-03-21 19:54:44","","1496-504","","11","116","","Archives of ophthalmology (Chicago, Ill. : 1960)","","","","","","","","eng","","","","9823352","NLM","","","","/Users/domusc/Zotero/storage/K6KAHCH2/Mangione et al. - 1998 - Psychometric properties of the National Eye Instit.pdf","","*Activities of Daily Living; Adult; Aged; Cohort Studies; Cross-Sectional Studies; Eye Diseases/*physiopathology; Female; Humans; Male; Middle Aged; National Institutes of Health (U.S.)/*standards; Ophthalmology; Prospective Studies; Psychometrics; Reproducibility of Results; Surveys and Questionnaires; United States; Vision Screening/*standards; Visual Acuity/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
